Identifier,,Progress,,,,,,,,,Deal Info,,,,,,,,,Sources,,,,,,,,,,FDI MARKETS DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deal ID,Present in '22?,Reviewer,Review Date,Review Status,Analyst,Analyst (after 10/15/2025),Checked Date,Confidence Status,Duplicate Pair ID (Original),Comments (changes made),Deal Status,Amount - Announced (Million USD),Amount - Completed (Million USD),Estimated (Y),CN Deal Stake (%),Date [MM/DD/YYYY] - Announced,Date [MM/DD/YYYY] - Completed,BU Sector,BU Sub-sector,Source (Deal Status),Source (Amount - Announced),Source (Amount - Completed),Source (Deal Stake %),Source (Date [MM/DD/YYYY] - Announced),Source (Date [MM/DD/YYYY] - Completed),Source (BU Sector),Other/General Sources,Subregion,Year (Announced),Project date,FDI Project ID,Investing company,Parent company,Parent company ID,Source country,Source state,Source city,Region,Destination,Relocation from,Industry sector,Sub-sector,Cluster,Industry activity,Jobs created,Estimated,Capital Investment (US$m),Estimated,Project type,Project status,Motive description,Markets served,Joint venture companies,Source,Contact name (1),Position (1),Email (1),Telephone (1),Contact name (2),Position (2),Email (2),Telephone (2),Contact name (3),Position (3),Email (3),Telephone (3)
1,,DM,,"I added 49m in the amount 'completed' given that it is what has already been  contributed. we should always get this number as it is more useful, and both wherever possible.",Zaky,,03/14/2025,High,, CAPEIC will invest $540 million over three years,Commenced,540,49,No,,01/01/2023,,Energy,Oil and Gas,https://www.voanews.com/a/afghan-oil-production-jumps-with-49-million-chinese-investment-/7473728.html,"https://www.isdp.eu/afghanistan-is-next-in-chinas-eurasian-connectivity-dream-but-old-problems-persist/#:~:text=China's%20increased%20geopolitical%20attention%20on,in%20Afghanistan%20continues%20to%20compound.",,,"https://www.isdp.eu/afghanistan-is-next-in-chinas-eurasian-connectivity-dream-but-old-problems-persist/#:~:text=China's%20increased%20geopolitical%20attention%20on,in%20Afghanistan%20continues%20to%20compound.",,"https://www.isdp.eu/afghanistan-is-next-in-chinas-eurasian-connectivity-dream-but-old-problems-persist/#:~:text=China's%20increased%20geopolitical%20attention%20on,in%20Afghanistan%20continues%20to%20compound.",,South Asia,2023,1/1/2023,462963,Xinjiang Central Asia Petroleum and Gas (CAPEIC),China National Petroleum (CNPC),759,China,,,Asia,Afghanistan,,"Coal, oil & gas",Petroleum refineries,Energy,Manufacturing,426,YES,"1,033.10",YES,New,,,,,,,,,,,,,,,,,
2,,DM,,ok,Zaky,,03/14/2025,Duplicate,1,,,,,,,,,,,,,,,,,,,South Asia,,1/1/2023,462966,Xinjiang Central Asia Petroleum and Gas (CAPEIC),China National Petroleum (CNPC),759,China,,,Asia,Afghanistan,,"Coal, oil & gas",Oil & gas extraction,Energy,Extraction,211,YES,620.5,YES,New,,,,,,,,,,,,,,,,,
3,,,,,DM,,10/3/2024,Irrelevant,,Irrelevant because this is NOT FDI. there is no source that says it is fdi and there is one that says It is a loan (syndicated loan) led by CDB and CNPC is the EPC contractor. Baidu source says: 该项目被国家开发银行列入“一带一路”专项贷款及国际业务重大项目库，也是国家开发银行牵头筹组的国际银团融资支持的首个在泰能源基础设施建设项目。,Completed,,,,,,,,,,,,,,,,https://baijiahao.baidu.com/s?id=1776814298792739375&wfr=spider&for=pc,Southeast Asia,,8/1/2023,450099,Xinjiang Central Asia Petroleum and Gas (CAPEIC),China National Petroleum (CNPC),759,China,,,Asia,Thailand,,Transportation & Warehousing,Pipeline transportation of crude oil,Energy,"Logistics, Distribution & Transportation",78,YES,18.5,YES,New,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle East,,5/1/2023,443563,Baoshan Iron & Steel (Baosteel),China Baowu Steel Group (Shanghai Baosteel Group),804,China,,,Asia,Saudi Arabia,,Metals,Steel products,Industrial,Manufacturing,3000,YES,"4,000.00",NO,New,,,,,,,,,,,,,,,,,
5,,,,,,,,,,Changed name to United Arab Emirates,,,,,,,,,,,,,,,,,,Middle East,,8/1/2023,447358,,China Minmetals,1005,China,,,Asia,United Arab Emirates,,Metals,Nonferrous metal production & processing,Physical Sciences,Manufacturing,700,NO,40.8,NO,New,,,,,,,,,,,,,,,,,
6,,,,,Zaky,,11/07/2025,Medium,,"Doesnt get information about the company greenfield investment in 2021, but from Singapore business database, they have subsidiary in Singapore since 2018",Completed,,,,,,04/03/2018,Industry & Trade/Ser,Business Services,https://www.scam.sg/companies/201811254D/wan-xiang-equipment-engineering-pte-ltd,,,,,https://www.scam.sg/companies/201811254D/wan-xiang-equipment-engineering-pte-ltd,https://www.scam.sg/companies/201811254D/wan-xiang-equipment-engineering-pte-ltd,,Southeast Asia,,7/1/2021,391351,Wanxiang,Wanxiang,1451,China,,,Asia,Singapore,,Automotive components,Other motor vehicle parts,Transport Equipment,Headquarters,147,YES,29.1,YES,New,,,,,,,,,,,,,,,,,
7,,,,,Alif,,11/10/2025,Irrelevant,,ZTE formed a strategic partnership with AIS to enhance collaboration on the Nubia Pad 3D product. Not classified as greenfield investment,Completed,,,,,02/28/2023,01/01/2023,ICT,ICT Services,https://business.ais.co.th/news-activities/en/ais-zte-nubia-pad-3d-mwc-2023.html,,,,https://business.ais.co.th/news-activities/en/ais-zte-nubia-pad-3d-mwc-2023.html,https://business.ais.co.th/news-activities/en/ais-zte-nubia-pad-3d-mwc-2023.html,https://business.ais.co.th/news-activities/en/ais-zte-nubia-pad-3d-mwc-2023.html,,Southeast Asia,2023,7/1/2023,445398,,ZTE,2781,China,,,Asia,Thailand,,Communications,Communications equipment,ICT & Electronics,Research & Development,175,YES,35.4,YES,New,,,,,,,,,,,,,,,,,
8,,,,,Naufal,,11/08/2025,Unknown,,Insufficient information. No news or information can be identified regarding planned/ongoing investment by ZTE in Philippines in the given period,Unknown,,,,,,,,,,,,,,,,,Southeast Asia,,7/1/2023,445394,,ZTE,2781,China,,,Asia,Philippines,,Communications,Communications equipment,ICT & Electronics,"Sales, Marketing & Support",21,YES,7.9,YES,New,,,,,,,,,,,,,,,,,
9,,,,,TH,,10/10/2024,Medium,,"Announcement date changed from July to September 2023. The two companies signed a distribution deal in August, then a deal to construct an assembly factory in September. No information of the deal value can be found.",Announced,,,,,9/16/2023,,Automotive,Automotive - EV,https://carnewschina.com/2024/09/18/gwm-will-produce-cars-in-vietnam-with-growing-commitment-to-market/,,,,https://carnewschina.com/2024/09/18/gwm-will-produce-cars-in-vietnam-with-growing-commitment-to-market/,,https://carnewschina.com/2024/09/18/gwm-will-produce-cars-in-vietnam-with-growing-commitment-to-market/,https://tuoitrenews.vn/news/business/20240923/great-wall-motor-to-expand-into-car-assembly-in-vietnam-next-year/82097.html,Southeast Asia,2023,7/1/2023,445390,,Great Wall Motors (GWM),2866,China,,,Asia,Vietnam,,Automotive OEM,Automobiles,Transport Equipment,Manufacturing,1152,YES,32.5,YES,New,,,,,,,,,,,,,,,,,
10,,,,,TH,,10/10/2024,Unknown,,"Sources indicate that GWM is finalizing plans to invest up to $30m to set up a new battery pack assembly plant in Thailand. However, no source suggests GWM has officially announced the deal",Unknown,30,,Yes,,,,Industry & Trade/Ser,Energy Components and Battery Manufacturing,,https://www.reuters.com/business/autos-transportation/chinas-great-wall-motor-plans-ev-battery-assembly-research-thailand-2023-05-30/,,,,,,,Southeast Asia,,5/1/2023,442699,,Great Wall Motors (GWM),2866,China,,,Asia,Thailand,,Electronic components,Batteries,Transport Equipment,Manufacturing,472,YES,30,NO,New,,,,,,,,,,,,,,,,,
