REF_AREA,COMP_BREAKDOWN_1,year,value_usd,OBS_STATUS
ALB,IMF_CNT_COUNTRY_924,2011,-4.02793,A
ALB,IMF_CNT_COUNTRY_924,2012,-6.14765,A
ALB,IMF_CNT_COUNTRY_924,2013,-1.14771,A
ALB,IMF_CNT_COUNTRY_924,2014,-2.91021,A
ALB,IMF_CNT_COUNTRY_924,2016,6.61924,A
ALB,IMF_CNT_COUNTRY_924,2017,8.93665,A
ALB,IMF_CNT_COUNTRY_924,2018,3.22683,A
ALB,IMF_CNT_COUNTRY_924,2019,1.83962,A
ALB,IMF_CNT_COUNTRY_924,2020,3.09018,A
ALB,IMF_CNT_COUNTRY_924,2021,2.50919,A
ALB,IMF_CNT_COUNTRY_924,2022,4.03192,A
ALB,IMF_CNT_COUNTRY_924,2023,5.06523,A
ARG,IMF_CNT_COUNTRY_924,2015,660.906,A
ARG,IMF_CNT_COUNTRY_924,2016,617.65,A
ARG,IMF_CNT_COUNTRY_924,2017,709.38,A
ARG,IMF_CNT_COUNTRY_924,2018,499.126,A
ARG,IMF_CNT_COUNTRY_924,2019,772.862,A
ARG,IMF_CNT_COUNTRY_924,2020,1131.1,A
ARG,IMF_CNT_COUNTRY_924,2021,1941.3,A
ARG,IMF_CNT_COUNTRY_924,2022,2281.9,A
ARG,IMF_CNT_COUNTRY_924,2023,3428.8,A
ARM,IMF_CNT_COUNTRY_924,2009,3.6567,A
ARM,IMF_CNT_COUNTRY_924,2010,3.6567,A
ARM,IMF_CNT_COUNTRY_924,2011,3.6567,A
ARM,IMF_CNT_COUNTRY_924,2012,3.6567,A
ARM,IMF_CNT_COUNTRY_924,2013,3.6567,A
ARM,IMF_CNT_COUNTRY_924,2014,3.18715,A
ARM,IMF_CNT_COUNTRY_924,2015,3.1293,A
ARM,IMF_CNT_COUNTRY_924,2016,3.12807,A
ARM,IMF_CNT_COUNTRY_924,2017,3.12704,A
ARM,IMF_CNT_COUNTRY_924,2018,3.1293,A
ARM,IMF_CNT_COUNTRY_924,2019,3.46863,A
ARM,IMF_CNT_COUNTRY_924,2020,3.11315,A
ARM,IMF_CNT_COUNTRY_924,2021,3.72954,A
ARM,IMF_CNT_COUNTRY_924,2022,0.860838,A
AUS,IMF_CNT_COUNTRY_924,2009,8124.12,A
AUS,IMF_CNT_COUNTRY_924,2010,13118.4,A
AUS,IMF_CNT_COUNTRY_924,2011,14707.9,A
AUS,IMF_CNT_COUNTRY_924,2012,17219.2,A
AUS,IMF_CNT_COUNTRY_924,2013,20712.2,A
AUS,IMF_CNT_COUNTRY_924,2014,26134.0,A
AUS,IMF_CNT_COUNTRY_924,2015,26100.0,A
AUS,IMF_CNT_COUNTRY_924,2016,27998.3,A
AUS,IMF_CNT_COUNTRY_924,2017,30567.4,A
AUS,IMF_CNT_COUNTRY_924,2018,30022.6,A
AUS,IMF_CNT_COUNTRY_924,2019,33437.5,A
AUS,IMF_CNT_COUNTRY_924,2020,36412.7,A
AUS,IMF_CNT_COUNTRY_924,2021,35302.6,A
AUS,IMF_CNT_COUNTRY_924,2022,31718.5,A
AUS,IMF_CNT_COUNTRY_924,2023,31851.1,A
AUT,IMF_CNT_COUNTRY_924,2012,5.60227,A
AUT,IMF_CNT_COUNTRY_924,2013,-23.031,A
AUT,IMF_CNT_COUNTRY_924,2014,-102.834,A
AUT,IMF_CNT_COUNTRY_924,2015,-56.2858,A
AUT,IMF_CNT_COUNTRY_924,2016,-187.419,A
AUT,IMF_CNT_COUNTRY_924,2017,-180.375,A
AUT,IMF_CNT_COUNTRY_924,2018,-55.876,A
AUT,IMF_CNT_COUNTRY_924,2019,-18.3114,A
AUT,IMF_CNT_COUNTRY_924,2020,184.679,A
AUT,IMF_CNT_COUNTRY_924,2021,281.904,A
AUT,IMF_CNT_COUNTRY_924,2022,274.116,A
AUT,IMF_CNT_COUNTRY_924,2023,145.197,A
AZE,IMF_CNT_COUNTRY_924,2009,120.196,A
AZE,IMF_CNT_COUNTRY_924,2010,136.551,A
AZE,IMF_CNT_COUNTRY_924,2011,165.72,A
AZE,IMF_CNT_COUNTRY_924,2012,170.398,A
AZE,IMF_CNT_COUNTRY_924,2013,176.113,A
AZE,IMF_CNT_COUNTRY_924,2014,185.862,A
AZE,IMF_CNT_COUNTRY_924,2015,189.177,A
AZE,IMF_CNT_COUNTRY_924,2016,189.247,A
AZE,IMF_CNT_COUNTRY_924,2017,175.731,A
AZE,IMF_CNT_COUNTRY_924,2018,176.752,A
AZE,IMF_CNT_COUNTRY_924,2019,186.83,A
AZE,IMF_CNT_COUNTRY_924,2020,194.537,A
AZE,IMF_CNT_COUNTRY_924,2021,197.943,A
AZE,IMF_CNT_COUNTRY_924,2022,208.264,A
AZE,IMF_CNT_COUNTRY_924,2023,209.954,A
BEL,IMF_CNT_COUNTRY_924,2009,-887.986,A
BEL,IMF_CNT_COUNTRY_924,2011,-2712.01,A
BEL,IMF_CNT_COUNTRY_924,2012,-359.141,A
BEL,IMF_CNT_COUNTRY_924,2013,-1467.36,A
BEL,IMF_CNT_COUNTRY_924,2014,-2611.53,A
BEL,IMF_CNT_COUNTRY_924,2015,-1754.77,A
BEL,IMF_CNT_COUNTRY_924,2016,-924.446,A
BEL,IMF_CNT_COUNTRY_924,2017,-539.565,A
BEL,IMF_CNT_COUNTRY_924,2018,-1311.71,A
BEL,IMF_CNT_COUNTRY_924,2019,539.794,A
BEL,IMF_CNT_COUNTRY_924,2020,2068.77,A
BEL,IMF_CNT_COUNTRY_924,2021,2082.96,A
BEL,IMF_CNT_COUNTRY_924,2022,-929.009,A
BEL,IMF_CNT_COUNTRY_924,2023,-149.175,A
BEN,IMF_CNT_COUNTRY_924,2011,17.7436,A
BEN,IMF_CNT_COUNTRY_924,2012,20.9889,A
BEN,IMF_CNT_COUNTRY_924,2013,1.65503,A
BEN,IMF_CNT_COUNTRY_924,2014,-4.06321,A
BEN,IMF_CNT_COUNTRY_924,2015,12.6461,A
BEN,IMF_CNT_COUNTRY_924,2016,92.1753,A
BEN,IMF_CNT_COUNTRY_924,2017,13.4562,A
BEN,IMF_CNT_COUNTRY_924,2018,463.523,A
BEN,IMF_CNT_COUNTRY_924,2019,321.916,A
BEN,IMF_CNT_COUNTRY_924,2020,326.66,A
BEN,IMF_CNT_COUNTRY_924,2021,385.706,A
BEN,IMF_CNT_COUNTRY_924,2022,674.341,A
BFA,IMF_CNT_COUNTRY_924,2012,0.0,A
BFA,IMF_CNT_COUNTRY_924,2014,0.451616,A
BFA,IMF_CNT_COUNTRY_924,2018,0.0,A
BFA,IMF_CNT_COUNTRY_924,2019,0.0,A
BFA,IMF_CNT_COUNTRY_924,2020,0.0,A
BFA,IMF_CNT_COUNTRY_924,2021,0.0,A
BFA,IMF_CNT_COUNTRY_924,2022,0.0,A
BFA,IMF_CNT_COUNTRY_924,2023,0.0,A
BGD,IMF_CNT_COUNTRY_924,2009,20.68,A
BGD,IMF_CNT_COUNTRY_924,2010,64.62,A
BGD,IMF_CNT_COUNTRY_924,2011,74.08,A
