ref_area,ref_area_label,counterpart_area,counterpart_label,indicator,year,value_usd
A2,North American countries,CN,China,IIW_BP6_USD,2009,13308.3296351225
A2,North American countries,CN,China,IIW_BP6_USD,2010,15792.2320096306
A2,North American countries,CN,China,IIW_BP6_USD,2011,19133.8259517953
A2,North American countries,CN,China,IIW_BP6_USD,2012,19285.9372584803
A2,North American countries,CN,China,IIW_BP6_USD,2013,21316.1266844068
A2,North American countries,CN,China,IIW_BP6_USD,2014,24158.4850862339
A2,North American countries,CN,China,IIW_BP6_USD,2015,25270.8602417292
A2,North American countries,CN,China,IIW_BP6_USD,2016,44153.361353436
A2,North American countries,CN,China,IIW_BP6_USD,2017,50251.5539616284
A2,North American countries,CN,China,IIW_BP6_USD,2018,52154.2193183678
A2,North American countries,CN,China,IIW_BP6_USD,2019,59261.8693253097
A2,North American countries,CN,China,IIW_BP6_USD,2020,54012.9547057948
A2,North American countries,CN,China,IIW_BP6_USD,2021,53068.2242933009
A2,North American countries,CN,China,IIW_BP6_USD,2022,50039.0273050661
A2,North American countries,CN,China,IIW_BP6_USD,2023,48527.9277277892
A6,North Atlantic & Caribbean,CN,China,IIW_BP6_USD,2009,2.8314345
A6,North Atlantic & Caribbean,CN,China,IIW_BP6_USD,2010,0.0
A6,North Atlantic & Caribbean,CN,China,IIW_BP6_USD,2011,0.95
A6,North Atlantic & Caribbean,CN,China,IIW_BP6_USD,2012,0.0
A6,North Atlantic & Caribbean,CN,China,IIW_BP6_USD,2013,1.3
A7,South American countries,CN,China,IIW_BP6_USD,2009,306.310775408478
A7,South American countries,CN,China,IIW_BP6_USD,2010,1666.90186349259
A7,South American countries,CN,China,IIW_BP6_USD,2011,3671.23345460153
A7,South American countries,CN,China,IIW_BP6_USD,2012,3622.13380368302
A7,South American countries,CN,China,IIW_BP6_USD,2013,5403.47662123655
A7,South American countries,CN,China,IIW_BP6_USD,2014,4183.20678067575
A7,South American countries,CN,China,IIW_BP6_USD,2015,3946.38482324198
A7,South American countries,CN,China,IIW_BP6_USD,2016,3604.95783300768
A7,South American countries,CN,China,IIW_BP6_USD,2017,3918.59011243682
A7,South American countries,CN,China,IIW_BP6_USD,2018,2789.52298447473
A7,South American countries,CN,China,IIW_BP6_USD,2019,3516.19125578195
A7,South American countries,CN,China,IIW_BP6_USD,2020,3849.14899174562
A7,South American countries,CN,China,IIW_BP6_USD,2021,5019.1817002742
A7,South American countries,CN,China,IIW_BP6_USD,2022,5712.60498676667
A7,South American countries,CN,China,IIW_BP6_USD,2023,7591.51248615229
AL,Albania,CN,China,IIW_BP6_USD,2011,-4.02792546161736
AL,Albania,CN,China,IIW_BP6_USD,2012,-6.14765200674503
AL,Albania,CN,China,IIW_BP6_USD,2013,-1.14770666120165
AL,Albania,CN,China,IIW_BP6_USD,2014,-2.91020836968711
AL,Albania,CN,China,IIW_BP6_USD,2016,6.61924480174642
AL,Albania,CN,China,IIW_BP6_USD,2017,8.93664816875188
AL,Albania,CN,China,IIW_BP6_USD,2018,3.22682664663933
AL,Albania,CN,China,IIW_BP6_USD,2019,1.83962321238907
AL,Albania,CN,China,IIW_BP6_USD,2020,3.09017860163986
AL,Albania,CN,China,IIW_BP6_USD,2021,2.50919270233558
AL,Albania,CN,China,IIW_BP6_USD,2022,4.03192374838916
AL,Albania,CN,China,IIW_BP6_USD,2023,5.06523259853951
AM,Armenia,CN,China,IIW_BP6_USD,2009,3.6567
AM,Armenia,CN,China,IIW_BP6_USD,2010,3.6567
AM,Armenia,CN,China,IIW_BP6_USD,2011,3.6567
AM,Armenia,CN,China,IIW_BP6_USD,2012,3.6567
AM,Armenia,CN,China,IIW_BP6_USD,2013,3.6567
AM,Armenia,CN,China,IIW_BP6_USD,2014,3.18714866202076
AM,Armenia,CN,China,IIW_BP6_USD,2015,3.1293023255814
AM,Armenia,CN,China,IIW_BP6_USD,2016,3.12807372814812
AM,Armenia,CN,China,IIW_BP6_USD,2017,3.12703986779591
AM,Armenia,CN,China,IIW_BP6_USD,2018,3.1293023255814
AM,Armenia,CN,China,IIW_BP6_USD,2019,3.46862622472379
AM,Armenia,CN,China,IIW_BP6_USD,2020,3.11314797451157
AM,Armenia,CN,China,IIW_BP6_USD,2021,3.72953721831133
AM,Armenia,CN,China,IIW_BP6_USD,2022,0.860837970373758
AR,Argentina,CN,China,IIW_BP6_USD,2015,660.90573351
AR,Argentina,CN,China,IIW_BP6_USD,2016,617.64970061
AR,Argentina,CN,China,IIW_BP6_USD,2017,709.380369219733
AR,Argentina,CN,China,IIW_BP6_USD,2018,499.12564049674
AR,Argentina,CN,China,IIW_BP6_USD,2019,772.862110363148
AR,Argentina,CN,China,IIW_BP6_USD,2020,1131.1
AR,Argentina,CN,China,IIW_BP6_USD,2021,1941.3
AR,Argentina,CN,China,IIW_BP6_USD,2022,2281.9
AR,Argentina,CN,China,IIW_BP6_USD,2023,3428.8
AT,Austria,CN,China,IIW_BP6_USD,2012,5.6022700356
AT,Austria,CN,China,IIW_BP6_USD,2013,-23.03097
AT,Austria,CN,China,IIW_BP6_USD,2014,-102.83427
AT,Austria,CN,China,IIW_BP6_USD,2015,-56.28579
AT,Austria,CN,China,IIW_BP6_USD,2016,-187.41898
AT,Austria,CN,China,IIW_BP6_USD,2017,-180.37472
AT,Austria,CN,China,IIW_BP6_USD,2018,-55.876
AT,Austria,CN,China,IIW_BP6_USD,2019,-18.31142
AT,Austria,CN,China,IIW_BP6_USD,2020,184.67855
AT,Austria,CN,China,IIW_BP6_USD,2021,281.90414
AT,Austria,CN,China,IIW_BP6_USD,2022,274.1162
AT,Austria,CN,China,IIW_BP6_USD,2023,145.197
AU,Australia,CN,China,IIW_BP6_USD,2009,8124.12019999998
AU,Australia,CN,China,IIW_BP6_USD,2010,13118.4004
AU,Australia,CN,China,IIW_BP6_USD,2011,14707.9192
AU,Australia,CN,China,IIW_BP6_USD,2012,17219.2345
AU,Australia,CN,China,IIW_BP6_USD,2013,20712.1859999999
AU,Australia,CN,China,IIW_BP6_USD,2014,26134.0326
AU,Australia,CN,China,IIW_BP6_USD,2015,26099.9544000001
